country,group,n_vars,mean_slope,sd_slope,n_rising,n_falling,n_flat,all_same_sign,coherence_score,rising_vars,falling_vars,coherence_flag,group_direction
9,political_action_voting,4,-0.071315431425155,0.0990537157752048,0,2,2,FALSE,0.5,,attended_campaign_rally; persuaded_others_vote,DIVERGENT,FALLING
10,political_action_voting,4,0.018417335699060983,0.21791218528983491,2,2,0,FALSE,0.5,voted_last_election; voting_frequency,attended_campaign_rally; persuaded_others_vote,DIVERGENT,FLAT
11,political_action_voting,4,-0.051879310225998454,0.060632494766453084,0,2,2,FALSE,0.5,,voted_last_election; voting_frequency,DIVERGENT,FALLING
12,political_action_voting,4,0.031790814974382235,0.07158801148152845,2,0,2,FALSE,0.5,voted_last_election; voting_frequency,,DIVERGENT,FLAT
13,political_action_voting,4,-0.024807871945461118,0.10935954093087476,2,2,0,FALSE,0.5,voted_last_election; voting_frequency,attended_campaign_rally; persuaded_others_vote,DIVERGENT,FLAT
1,political_efficacy,4,-0.02363914371665108,0.08704794745545377,1,1,2,FALSE,0.5,efficacy_no_influence,efficacy_ability_participate,DIVERGENT,FLAT
2,political_efficacy,4,-0.0374208481775954,0.1063062831317743,1,2,1,FALSE,0.5,democracy_efficacy,efficacy_ability_participate; efficacy_politics_complicated,DIVERGENT,FLAT
3,political_efficacy,4,-0.02453475336855599,0.06359006214259952,0,1,3,FALSE,0.75,,efficacy_ability_participate,DIVERGENT,FLAT
4,political_efficacy,4,-0.025682418507367476,0.027430670152623234,0,1,3,FALSE,0.75,,efficacy_ability_participate,DIVERGENT,FLAT
5,political_efficacy,4,-0.02656222248036315,0.053781190131610104,0,1,3,FALSE,0.75,,democracy_efficacy,DIVERGENT,FLAT
6,political_efficacy,4,-0.0034551854924289053,0.0687654240742534,1,1,2,FALSE,0.5,democracy_efficacy,efficacy_ability_participate,DIVERGENT,FLAT
7,political_efficacy,4,-0.010776471788295177,0.027488208015114073,0,0,4,FALSE,1,,,DIVERGENT,FLAT
8,political_efficacy,4,-0.008938938383568676,0.06009782370193256,1,2,1,FALSE,0.5,efficacy_ability_participate,democracy_efficacy; efficacy_politics_complicated,DIVERGENT,FLAT
9,political_efficacy,4,0.005684137837713151,0.010377578713271758,0,0,4,FALSE,1,,,DIVERGENT,FLAT
10,political_efficacy,4,-0.02681951154612105,0.015152149504545007,0,0,4,TRUE,1,,,DIVERGENT,FLAT
11,political_efficacy,4,-0.011606021366571868,0.02433423311724503,0,0,4,FALSE,1,,,DIVERGENT,FLAT
12,political_efficacy,4,-0.05708983729728373,0.03648766969124303,0,3,1,TRUE,0.75,,democracy_efficacy; efficacy_ability_participate; efficacy_politics_complicated,COHERENT_FALLING,FALLING
13,political_efficacy,4,-0.02613949959920992,0.02691821109378092,0,1,3,FALSE,0.75,,efficacy_ability_participate,DIVERGENT,FLAT
1,regime_comparative,2,-0.0352662425519189,9.894443382379731e-4,0,0,2,TRUE,1,,,DIVERGENT,FLAT
2,regime_comparative,2,-0.034896687095211064,0.01994055050790414,0,0,2,TRUE,1,,,DIVERGENT,FLAT
3,regime_comparative,2,-0.04663664148159201,0.004847620738808216,0,1,1,TRUE,0.5,,dem_rating_china,DIVERGENT,FLAT
5,regime_comparative,2,-0.049028118086571565,0.09487149845535865,0,1,1,FALSE,0.5,,dem_rating_usa,DIVERGENT,FLAT
6,regime_comparative,2,-0.0442932700270655,0.008169492681551394,0,1,1,TRUE,0.5,,dem_rating_usa,DIVERGENT,FLAT
7,regime_comparative,2,-0.06981446381785478,0.041832848006402634,0,1,1,TRUE,0.5,,dem_rating_usa,COHERENT_FALLING,FALLING
8,regime_comparative,2,-0.10849235079383841,0.04910138093474231,0,2,0,TRUE,1,,dem_rating_china; dem_rating_usa,COHERENT_FALLING,FALLING
9,regime_comparative,2,-0.06127897532670015,0.02568229411354179,0,1,1,TRUE,0.5,,dem_rating_usa,COHERENT_FALLING,FALLING
10,regime_comparative,2,-0.09905075898325927,0.005493145605875419,0,2,0,TRUE,1,,dem_rating_china; dem_rating_usa,COHERENT_FALLING,FALLING
11,regime_comparative,2,-0.03202423468440682,0.08874754161967882,0,1,1,FALSE,0.5,,dem_rating_china,DIVERGENT,FLAT
12,regime_comparative,2,-0.07484547223431569,0.07321237803118746,0,1,1,TRUE,0.5,,dem_rating_usa,COHERENT_FALLING,FALLING
13,regime_comparative,2,0.008444288669441333,0.016048885162920145,0,0,2,FALSE,1,,,DIVERGENT,FLAT
1,rule_of_law,5,-0.060865384834265374,0.04056005241974309,0,2,3,TRUE,0.6,,gov_economic_equality; gov_free_to_organize,COHERENT_FALLING,FALLING
2,rule_of_law,5,-0.0504798861656506,0.054881446847176586,0,2,3,FALSE,0.6,,gov_ethnic_equality; gov_free_to_organize,DIVERGENT,FALLING
3,rule_of_law,5,-0.027066777550469604,0.0635520787580429,0,2,3,FALSE,0.6,,gov_economic_equality; gov_free_to_organize,DIVERGENT,FLAT
4,rule_of_law,5,-0.016894883243558118,0.06483878581937302,0,1,4,FALSE,0.8,,gov_free_to_organize,DIVERGENT,FLAT
5,rule_of_law,5,-0.06144785895302702,0.04612549673936755,0,4,1,FALSE,0.8,,gov_economic_equality; gov_ethnic_equality; gov_free_to_organize; rich_poor_treated_equally,DIVERGENT,FALLING
6,rule_of_law,5,0.03133887062324441,0.06765610222283648,2,0,3,FALSE,0.6,gov_ethnic_equality; rich_poor_treated_equally,,DIVERGENT,FLAT
7,rule_of_law,5,0.001462513487511999,0.05730024286894493,2,1,2,FALSE,0.4,gov_ethnic_equality; rich_poor_treated_equally,gov_economic_equality,DIVERGENT,FLAT
8,rule_of_law,5,-0.036707602088176576,0.028557005026918523,0,2,3,FALSE,0.6,,gov_ethnic_equality; rich_poor_treated_equally,DIVERGENT,FLAT
9,rule_of_law,5,0.007083530650304984,0.023881268750869315,0,0,5,FALSE,1,,,DIVERGENT,FLAT
10,rule_of_law,5,0.007135686573359168,0.027567010201231274,0,0,5,FALSE,1,,,DIVERGENT,FLAT
11,rule_of_law,5,-0.030701168934228338,0.029302637964247737,0,1,4,TRUE,0.8,,gov_free_to_organize,DIVERGENT,FLAT
12,rule_of_law,5,-0.006906595303868271,0.07722655537732882,1,2,2,FALSE,0.4,rich_poor_treated_equally,gov_basic_necessities; gov_free_to_organize,DIVERGENT,FLAT
13,rule_of_law,5,-0.014325663282294504,0.029473242688764254,0,0,5,FALSE,1,,,DIVERGENT,FLAT
1,social_trust,6,-7.681847124116707e-4,0.04217019656478861,1,1,4,FALSE,0.6666666666666666,trust_govt_do_right,trust_generalized_ordinal,DIVERGENT,FLAT
2,social_trust,6,0.046041146653888074,0.0955191663995638,3,2,1,FALSE,0.5,trust_generalized_binary; trust_neighbors; trust_relatives,trust_generalized_ordinal; trust_govt_do_right,DIVERGENT,FLAT
3,social_trust,6,-0.014228875458530662,0.03256802981259109,0,1,5,FALSE,0.8333333333333334,,trust_generalized_ordinal,DIVERGENT,FLAT
4,social_trust,6,0.07842986478550948,0.11109519383575009,3,1,2,FALSE,0.5,trust_acquaintances; trust_neighbors; trust_relatives,trust_govt_do_right,DIVERGENT,RISING
5,social_trust,6,0.050695887206248735,0.09781486630035376,3,1,2,FALSE,0.5,trust_acquaintances; trust_neighbors; trust_relatives,trust_generalized_ordinal,DIVERGENT,RISING
6,social_trust,6,0.00314398809440358,0.019074234214497852,0,0,6,FALSE,1,,,DIVERGENT,FLAT
7,social_trust,6,4.442215862681663e-4,0.014820705478498362,0,0,6,FALSE,1,,,DIVERGENT,FLAT
8,social_trust,6,-0.051949105143292554,0.054443666362516144,0,3,3,FALSE,0.5,,trust_acquaintances; trust_generalized_ordinal; trust_govt_do_right,DIVERGENT,FALLING
9,social_trust,6,0.036130562723604084,0.05466520924617028,2,0,4,FALSE,0.6666666666666666,trust_acquaintances; trust_generalized_binary,,DIVERGENT,FLAT
10,social_trust,6,0.0032451651580066142,0.021335546463332078,0,0,6,FALSE,1,,,DIVERGENT,FLAT
11,social_trust,6,-0.07434112347831065,0.030858555251405222,0,5,1,TRUE,0.8333333333333334,,trust_acquaintances; trust_generalized_binary; trust_generalized_ordinal; trust_govt_do_right; trust_neighbors,COHERENT_FALLING,FALLING
12,social_trust,6,-0.009704005226512435,0.029675251623262327,0,0,6,FALSE,1,,,DIVERGENT,FLAT
13,social_trust,6,0.010693783280860257,0.03357048047949936,1,0,5,FALSE,0.8333333333333334,trust_acquaintances,,DIVERGENT,FLAT
